Unnamed: 0,city_edge_id,is_bike,GSV1,GSV2,SAT,mismatch
1127,251658_Denver,0,"251658_Denver_MID_GSV1_39.7210456471683,-104.847255304433.jpg","251658_Denver_MID_GSV2_39.7210456471683,-104.847255304433.jpg","251658_Denver_MID_SAT_39.7210456471683,-104.847255304433.jpg",N
1623,52093176_LosAngeles,2,"52093176_LosAngeles_MID4_GSV1_33.7667131831453,-118.164728611932.jpg","52093176_LosAngeles_MID4_GSV2_33.7667131831453,-118.164728611932.jpg","52093176_LosAngeles_SAT4_33.7667131831453,-118.164728611932.jpg",N
1787,260374507_Seattle,1,"260374507_Seattle_MID96_GSV1_47.5389126319675,-122.293413197599.jpg","260374507_Seattle_MID96_GSV2_47.5389126319675,-122.293413197599.jpg","260374507_Seattle_SAT96_47.5389126319675,-122.293413197599.jpg",N
1300,365849_SanJose,1,"365849_SanJose_MID_GSV1_37.229292545353,-121.874338955013.jpg","365849_SanJose_MID_GSV2_37.229292545353,-121.874338955013.jpg","365849_SanJose_MID_SAT_37.229292545353,-121.874338955013.jpg",N
1670,661300093_Sacramento,1,"661300093_Sacramento_MID5_GSV1_38.5510132105444,-121.54827646184.jpg","661300093_Sacramento_MID5_GSV2_38.5510132105444,-121.54827646184.jpg","661300093_Sacramento_SAT5_38.5510132105444,-121.54827646184.jpg",N
1911,9802_Atlanta,2,9802_Atlanta_MID_GSV1_33.778808_-84.388769_179.jpg,9802_Atlanta_MID_GSV2_33.778808_-84.388769_359.jpg,9802_Atlanta_SAT_33.7788_-84.3888.jpg,N
838,189109_StLouis,0,"189109_StLouis_MID_GSV1_38.761701734899,-90.530649087098.jpg","189109_StLouis_MID_GSV2_38.761701734899,-90.530649087098.jpg","189109_StLouis_MID_SAT_38.761701734899,-90.530649087098.jpg",N
1712,197596120_SanFrancisco,2,"197596120_SanFrancisco_MID95_GSV1_37.9252743404099,-122.372619802797.jpg","197596120_SanFrancisco_MID95_GSV2_37.9252743404099,-122.372619802797.jpg","197596120_SanFrancisco_SAT95_37.9252743404099,-122.372619802797.jpg",N
1060,239038_Denver,1,"239038_Denver_MID_GSV1_39.6806049001352,-104.945312700015.jpg","239038_Denver_MID_GSV2_39.6806049001352,-104.945312700015.jpg","239038_Denver_MID_SAT_39.6806049001352,-104.945312700015.jpg",N
1654,597125500_SanFrancisco,2,"597125500_SanFrancisco_MID5_GSV1_37.7717085097459,-122.475531895837.jpg","597125500_SanFrancisco_MID5_GSV2_37.7717085097459,-122.475531895837.jpg","597125500_SanFrancisco_SAT5_37.7717085097459,-122.475531895837.jpg",Y
1470,197596120_SanFrancisco,2,"197596120_SanFrancisco_MID5_GSV1_37.9252768771655,-122.375835625179.jpg","197596120_SanFrancisco_MID5_GSV2_37.9252768771655,-122.375835625179.jpg","197596120_SanFrancisco_SAT5_37.9252768771655,-122.375835625179.jpg",N
64,13367_LosAngeles,0,"13367_LosAngeles_MID_GSV1_33.8745722109906,-118.174641402242.jpg","13367_LosAngeles_MID_GSV2_33.8745722109906,-118.174641402242.jpg","13367_LosAngeles_MID_SAT_33.8745722109906,-118.174641402242.jpg",N
